gene_name,sample,counts,fraction
efeB,5,31,6.849616233678856e-06
efeO,5,6,1.3257321742604238e-06
efeU_1,5,25,5.523884059418432e-06
efp,5,851,0.00018803301338260342
elaA,5,478,0.00010561666321608043
elaB,5,3600,0.0007954393045562542
elaD,5,2,4.4191072475347456e-07
elbB,5,561,0.00012395595829334962
elfA,5,27,5.9657947841719064e-06
elfC,5,110,2.4305089861441102e-05
elfD,5,2,4.4191072475347456e-07
elfG,5,59,1.30363663802275e-05
elyC,5,32,7.070571596055593e-06
emrA,5,72,1.5908786091125086e-05
emrB,5,70,1.546687536637161e-05
emrD,5,5,1.1047768118836864e-06
emrE,5,40,8.838214495069492e-06
emrK,5,28,6.186750146548644e-06
emrY,5,21,4.640062609911483e-06
emtA,5,132,2.9166107833729323e-05
endA,5,30,6.628660871302119e-06
eno,5,4696,0.0010376063817211583
entA,5,57,1.2594455655474025e-05
entB,5,40,8.838214495069492e-06
entC,5,25,5.523884059418432e-06
entD,5,16,3.5352857980277964e-06
entE,5,15,3.3143304356510593e-06
entF,5,134,2.9608018558482796e-05
entH,5,40,8.838214495069492e-06
entS,5,19,4.198151885158009e-06
envC,5,229,5.059877798427284e-05
envR,5,1,2.2095536237673728e-07
envY,5,29,6.4077055089253815e-06
envZ,5,542,0.0001197578064081916
epd,5,1351,0.00029851069457097207
epmA,5,296,6.540278726351423e-05
epmB,5,133,2.9387063196106058e-05
epmC,5,50,1.1047768118836864e-05
eptA,5,232,5.126164407140305e-05
eptB,5,296,6.540278726351423e-05
eptC,5,199,4.397011711297072e-05
era,5,747,0.00016505365569542276
erpA,5,1757,0.00038821857169592743
essD,5,7,1.546687536637161e-06
essQ,5,2,4.4191072475347456e-07
etk,5,207,4.573776001198462e-05
etp,5,22,4.86101797228822e-06
ettA,5,901,0.0001990807815014403
eutA,5,26,5.744839421795169e-06
eutB,5,246,5.435501914467737e-05
eutC,5,152,3.358521508126407e-05
eutD,5,88,1.944407188915288e-05
eutE,5,6,1.3257321742604238e-06
eutG,5,35,7.733437683185805e-06
eutH,5,41,9.05916985744623e-06
eutJ,5,10,2.209553623767373e-06
eutK,5,226,4.9935911897142624e-05
eutL,5,135,2.9828973920859534e-05
eutM,5,174,3.844623305355229e-05
eutN,5,4,8.838214495069491e-07
eutP,5,84,1.856025043964593e-05
eutQ,5,117,2.5851777398078264e-05
eutR,5,99,2.187458087529699e-05
eutS,5,43,9.501080582199704e-06
eutT,5,74,1.635069681587856e-05
evgA,5,45,9.942991306953178e-06
evgS,5,80,1.7676428990138983e-05
exbB,5,478,0.00010561666321608043
exbD,5,200,4.419107247534746e-05
exoX,5,205,4.5295849287231144e-05
exuR,5,721,0.0001593088162736276
exuT,5,364,8.042775190513238e-05
fabA,5,1139,0.00025166815774710377
fabB,5,6276,0.0013867158542764033
fabD,5,1268,0.0002801713994937029
fabF,5,1087,0.00024017847890351343
fabG,5,3434,0.0007587607144017159
fabH,5,837,0.0001849396383093291
fabI,5,2323,0.0005132793068011607
fabR,5,672,0.00014848200351716745
fabZ,5,384,8.484685915266712e-05
fadA,5,2042,0.00045119084997329755
fadB,5,7087,0.0015659106531639372
fadD,5,7568,0.0016721901824671478
fadE,5,2211,0.0004885323062149661
fadH,5,2095,0.0004629014841792646
fadI,5,1584,0.00034999329400475185
fadJ,5,3330,0.0007357813567145352
fadK,5,31,6.849616233678856e-06
fadL,5,7507,0.0016587119053621667
fadM,5,342,7.556673393284415e-05
fadR,5,350,7.733437683185805e-05
fau,5,155,3.424808116839428e-05
fbaA,5,1872,0.0004136284383692522
fbaB,5,1839,0.0004063369114108199
fbp,5,800,0.00017676428990138983
fcl,5,0,0.0
fdhD,5,243,5.369215305754716e-05
fdhE,5,480,0.0001060585739408339
