well,od600nm,identifier,replicate,growth_medium,date,run_number,time_hr,avg_blank_value,strain,class,od600nm_subtracted
D8,0.083,GC048,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆dpp,Single KO,0.004037037037037047
D9,0.084,GC053,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆opp,Single KO,0.005037037037037048
D10,0.09,GC055,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆mgl,Single KO,0.01103703703703704
E3,0.086,GC032,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆mal,Single KO,0.007037037037037036
E4,0.087,GC049,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆pot,Single KO,0.008037037037037037
E5,0.087,GC052,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆nmp,Single KO,0.008037037037037037
E6,0.089,GC047,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆his,Single KO,0.010037037037037039
E7,0.09,GC050,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆rbs,Single KO,0.01103703703703704
E8,0.084,GC048,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆dpp,Single KO,0.005037037037037048
E9,0.086,GC053,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆opp,Single KO,0.007037037037037036
E10,0.09,GC055,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆mgl,Single KO,0.01103703703703704
F3,0.085,GC030,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆glt,Single KO,0.006037037037037049
F4,0.086,GC030,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆glt,Single KO,0.007037037037037036
F5,0.084,GC030,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆glt,Single KO,0.005037037037037048
F6,0.084,GC029,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆flh,Single KO,0.005037037037037048
F7,0.086,GC029,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆flh,Single KO,0.007037037037037036
F8,0.084,GC029,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,∆flh,Single KO,0.005037037037037048
F9,0.085,GC001,1,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,WT,WT,0.006037037037037049
F10,0.085,GC001,2,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,WT,WT,0.006037037037037049
F11,0.082,GC001,3,glucose-acetate,2021-09-07,1,0.37666666666666665,0.07896296296296296,WT,WT,0.0030370370370370464
C3,0.088,GC032,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆mal,Single KO,0.009000000000000008
C4,0.089,GC049,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆pot,Single KO,0.010000000000000009
C5,0.09,GC052,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆nmp,Single KO,0.01100000000000001
C6,0.087,GC047,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆his,Single KO,0.008000000000000007
C7,0.092,GC050,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆rbs,Single KO,0.013000000000000012
C8,0.084,GC048,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆dpp,Single KO,0.005000000000000018
C9,0.088,GC053,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆opp,Single KO,0.009000000000000008
C10,0.09,GC055,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆mgl,Single KO,0.01100000000000001
D3,0.088,GC032,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆mal,Single KO,0.009000000000000008
D4,0.086,GC049,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆pot,Single KO,0.007000000000000006
D5,0.087,GC052,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆nmp,Single KO,0.008000000000000007
D6,0.089,GC047,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆his,Single KO,0.010000000000000009
D7,0.093,GC050,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆rbs,Single KO,0.014000000000000012
D8,0.084,GC048,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆dpp,Single KO,0.005000000000000018
D9,0.085,GC053,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆opp,Single KO,0.006000000000000019
D10,0.09,GC055,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆mgl,Single KO,0.01100000000000001
E3,0.086,GC032,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆mal,Single KO,0.007000000000000006
E4,0.088,GC049,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆pot,Single KO,0.009000000000000008
E5,0.087,GC052,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆nmp,Single KO,0.008000000000000007
E6,0.09,GC047,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆his,Single KO,0.01100000000000001
E7,0.091,GC050,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆rbs,Single KO,0.01200000000000001
E8,0.084,GC048,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆dpp,Single KO,0.005000000000000018
E9,0.087,GC053,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆opp,Single KO,0.008000000000000007
E10,0.091,GC055,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆mgl,Single KO,0.01200000000000001
F3,0.085,GC030,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆glt,Single KO,0.006000000000000019
F4,0.086,GC030,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆glt,Single KO,0.007000000000000006
F5,0.085,GC030,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆glt,Single KO,0.006000000000000019
F6,0.085,GC029,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆flh,Single KO,0.006000000000000019
F7,0.087,GC029,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆flh,Single KO,0.008000000000000007
F8,0.085,GC029,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,∆flh,Single KO,0.006000000000000019
F9,0.085,GC001,1,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,WT,WT,0.006000000000000019
F10,0.085,GC001,2,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,WT,WT,0.006000000000000019
F11,0.082,GC001,3,glucose-acetate,2021-09-07,1,0.5022222222222222,0.07899999999999999,WT,WT,0.0030000000000000165
C3,0.088,GC032,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆mal,Single KO,0.008851851851851847
C4,0.09,GC049,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆pot,Single KO,0.010851851851851849
C5,0.091,GC052,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆nmp,Single KO,0.01185185185185185
C6,0.087,GC047,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆his,Single KO,0.007851851851851846
C7,0.093,GC050,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆rbs,Single KO,0.013851851851851851
C8,0.084,GC048,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆dpp,Single KO,0.004851851851851857
C9,0.088,GC053,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆opp,Single KO,0.008851851851851847
C10,0.091,GC055,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆mgl,Single KO,0.01185185185185185
D3,0.089,GC032,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆mal,Single KO,0.009851851851851848
D4,0.086,GC049,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆pot,Single KO,0.006851851851851845
D5,0.087,GC052,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆nmp,Single KO,0.007851851851851846
D6,0.09,GC047,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆his,Single KO,0.010851851851851849
D7,0.094,GC050,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆rbs,Single KO,0.014851851851851852
D8,0.084,GC048,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆dpp,Single KO,0.004851851851851857
D9,0.085,GC053,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆opp,Single KO,0.005851851851851858
D10,0.092,GC055,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆mgl,Single KO,0.01285185185185185
E3,0.087,GC032,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆mal,Single KO,0.007851851851851846
E4,0.088,GC049,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆pot,Single KO,0.008851851851851847
E5,0.088,GC052,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆nmp,Single KO,0.008851851851851847
E6,0.09,GC047,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆his,Single KO,0.010851851851851849
E7,0.092,GC050,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆rbs,Single KO,0.01285185185185185
E8,0.084,GC048,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆dpp,Single KO,0.004851851851851857
E9,0.087,GC053,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆opp,Single KO,0.007851851851851846
E10,0.092,GC055,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆mgl,Single KO,0.01285185185185185
F3,0.085,GC030,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆glt,Single KO,0.005851851851851858
F4,0.086,GC030,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆glt,Single KO,0.006851851851851845
