,dilution_cycle,species_label,preshift_nutrient_label,stall_biomass,entry_time_hr,exit_time_hr,lag_time_hr,nu_preshift,nu_postshift,K,lam_postshift,lam_preshift,alpha_2_preallocation
0,1.0,0.0,0.0,1.944013585999864e+16,0.8280000000000001,1.4790798690844964,0.6510798690844963,10,16.0,1e-06,2.268104626074643,1.8443456835975436,0.0026194941387599085
0,1.0,0.0,0.0,1.9445990193609024e+16,0.8280000000000001,1.4407885912100948,0.6127885912100948,10,17.0,1e-06,2.3192900511787577,1.8444241101038201,0.0026230836743638118
0,1.0,0.0,0.0,1.9451801913739596e+16,0.8280000000000001,1.4077952271074619,0.5797952271074618,10,18.0,1e-06,2.3668685444500785,1.8445025999204252,0.0026267292429497293
0,1.0,0.0,0.0,1.945635767030167e+16,0.8270000000000001,1.3789982291750587,0.5519982291750586,10,19.0,1e-06,2.4112279522760542,1.8445754671642949,0.002631862431325592
0,1.0,0.0,0.0,1.946361123812951e+16,0.8280000000000001,1.3532797527507463,0.5252797527507462,10,20.0,1e-06,2.4526960642030593,1.8446541922763253,0.0026356242475930073
0,1.0,0.0,0.0,1.939570763054512e+16,0.837,8.376917462024744,7.539917462024745,10,1.0,1e-05,0.35976195323340304,0.35976195323340304,1.0
0,1.0,0.0,0.0,1.94401954481523e+16,0.836,3.9425497869610786,3.1065497869610788,10,2.0,1e-05,0.6463447723111045,0.5686031983816825,1.0
0,1.0,0.0,0.0,1.94401954481523e+16,0.836,8.633549786961078,7.797549786961078,10,2.0,1e-05,0.6463447723111045,0.5686031983816825,1.0
0,1.0,0.0,0.0,1.948519161451091e+16,0.836,3.1580668499460955,2.3220668499460957,10,3.0,1e-05,0.8830850796300728,0.8830850796300728,1.000041780973273
0,1.0,0.0,0.0,1.9534274934399228e+16,0.839,2.524026310652242,1.6850263106522418,10,4.0,1e-05,1.0837261972429897,1.0837261972429897,1.0
0,1.0,0.0,0.0,1.958566104473479e+16,0.842,2.1544532932887446,1.3124532932887445,10,5.0,1e-05,1.2563328443393682,1.2563328443393682,1.0
0,1.0,0.0,0.0,1.9625289034942972e+16,0.838,1.9102979229430535,1.0722979229430534,10,6.0,1e-05,1.4066378595951943,1.4066378595951943,1.0000302990218142
0,1.0,0.0,0.0,1.967623589239413e+16,0.84,1.7452692202792477,0.9052692202792477,10,7.0,1e-05,1.5388115315378736,1.5388115315378736,1.0
0,1.0,0.0,0.0,1.971785816719296e+16,0.838,1.6204356066800476,0.7824356066800476,10,8.0,1e-05,1.6560309821616128,1.6560309821616128,1.0000946621497298
0,1.0,0.0,0.0,1.976453929482635e+16,0.838,1.526534067824485,0.688534067824485,10,9.0,1e-05,1.760761502196593,1.8432185051827354,0.02511052816535073
0,1.0,0.0,0.0,1.9803900079315896e+16,0.836,1.4536271637584801,0.6176271637584801,10,10.0,1e-05,1.8549240771218296,1.8439465631412586,0.02547145922846887
0,1.0,0.0,0.0,1.987891040323261e+16,0.843,1.3934483234496864,0.5504483234496864,10,11.0,1e-05,1.9401244438311034,1.8447045240840612,0.025846149425028664
0,1.0,0.0,0.0,1.9924432835162584e+16,0.842,1.3452693128798692,0.5032693128798692,10,12.0,1e-05,2.0175668623347907,1.8455047081278568,0.02619939903677501
0,1.0,0.0,0.0,1.9973487921603628e+16,0.842,1.3049920777161357,0.4629920777161357,10,13.0,1e-05,2.088303537634779,1.8463257743077444,0.026587575958888308
0,1.0,0.0,0.0,1.999866150801879e+16,0.838,1.27179947310018,0.4337994731001801,10,14.0,1e-05,2.153175891519331,1.847181274313602,0.02696544906326671
0,1.0,0.0,0.0,2.003410222189106e+16,0.836,1.2414149301691726,0.4054149301691726,10,15.0,1e-05,2.212883332954715,1.84806741457641,0.027337013973765697
0,1.0,0.0,0.0,2.012632653502248e+16,0.843,1.2182419129476467,0.37524191294764675,10,16.0,1e-05,2.2681174336488983,1.8489779058579587,0.02772626963711948
0,1.0,0.0,0.0,2.0140943877732256e+16,0.838,1.1968717095575678,0.35887170955756786,10,17.0,1e-05,2.319288889422825,1.8499161073766135,0.028082968286161723
0,1.0,0.0,0.0,2.028274127011408e+16,0.85,1.1791948972461006,0.3291948972461006,10,18.0,1e-05,2.3668685207773583,1.8508764333500864,0.028449115073225482
0,1.0,0.0,0.0,2.025221983870226e+16,0.84,1.1615115807553804,0.32151158075538044,10,19.0,1e-05,2.4112287231637053,1.8518583890914557,0.02886034091159657
0,1.0,0.0,0.0,2.027615253390273e+16,0.837,1.1454650385805074,0.30846503858050744,10,20.0,1e-05,2.4527016998873945,1.8528613681354194,0.029264144607541908
0,1.0,0.0,0.0,1.969892798638654e+16,0.9,4.7933725682040755,3.8933725682040756,10,1.0,0.0001,0.3601370712236575,0.3601370712236575,1.0000028089299309
0,1.0,0.0,0.0,2.003582419978585e+16,0.896,2.288031487386888,1.392031487386888,10,2.0,0.0001,0.6462950235964777,0.5828047515816981,1.0
0,1.0,0.0,0.0,2.003582419978585e+16,0.896,6.489031487386889,5.593031487386889,10,2.0,0.0001,0.6462950235964777,0.5828047515816981,1.0
0,1.0,0.0,0.0,2.0419854813311016e+16,0.905,2.0107218676325216,1.1057218676325216,10,3.0,0.0001,0.8830673099671454,0.8830673099671454,1.0000010186679904
0,1.0,0.0,0.0,2.080369977427468e+16,0.909,1.6866075509676905,0.7776075509676905,10,4.0,0.0001,1.083702394239812,1.083702394239812,1.000002463412823
0,1.0,0.0,0.0,2.1137828173571304e+16,0.905,1.4998418744592232,0.5948418744592232,10,5.0,0.0001,1.2563187846740629,1.2563187846740629,1.0000015322575293
0,1.0,0.0,0.0,2.149699000793093e+16,0.905,1.3816121750969281,0.4766121750969281,10,6.0,0.0001,1.4066143666526891,1.4066143666526891,1.0000023901100352
0,1.0,0.0,0.0,2.196124495584949e+16,0.914,1.3039362554972165,0.38993625549721644,10,7.0,0.0001,1.5387914447072188,1.5387914447072188,1.0
0,1.0,0.0,0.0,2.220857227932093e+16,0.905,1.241746316957304,0.33674631695730395,10,8.0,0.0001,1.6560065971036009,1.6560065971036009,1.0
0,1.0,0.0,0.0,2.263966616705713e+16,0.91,1.199709611791822,0.289709611791822,10,9.0,0.0001,1.7607440814884823,1.7607440814884823,1.000014584358743
0,1.0,0.0,0.0,2.29219265065357e+16,0.906,1.1649323663378488,0.2589323663378488,10,10.0,0.0001,1.8549253792283495,1.8444512287324601,0.21378772075060054
0,1.0,0.0,0.0,2.332803550615317e+16,0.909,1.1413998900077913,0.23239989000779127,10,11.0,0.0001,1.9401090996308434,1.8524438800982705,0.23199139690399795
0,1.0,0.0,0.0,2.3929232805737132e+16,0.92,1.1258633661989208,0.20586336619892076,10,12.0,0.0001,2.017541124909457,1.8666629511106183,0.3514484264627514
0,1.0,0.0,0.0,2.3900669059776976e+16,0.904,1.1015294560608675,0.19752945606086747,10,13.0,0.0001,2.088275369210689,2.088275369210689,1.0
0,1.0,0.0,0.0,2.4295781220090256e+16,0.906,1.0874697167896843,0.18146971678968427,10,14.0,0.0001,2.153160550015097,2.153160550015097,1.0
0,1.0,0.0,0.0,2.4597332365312856e+16,0.905,1.0748569068723548,0.16985690687235477,10,15.0,0.0001,2.212897044004417,2.212897044004417,1.0
