dilution_cycle,species_label,preshift_nutrient_label,stall_biomass,entry_time_hr,exit_time_hr,lag_time_hr,nu_max_preshift,nu_max_postshift,growth_rate_preshift,growth_rate_postshift,K
1,0,0,1.5430812011440116e+16,5.766666666666667,43.68760027926521,37.920933612598546,3,2.4444444444444446,0.8744356886178866,0.7544066019822133,1e-05
1,0,1,8.850148882462778e+20,22.6,,,3,2.4444444444444446,0.8744356886178866,0.7544066019822133,1e-05
1,0,0,1.5483375719575472e+16,5.75,7.857889931032126,2.107889931032126,3,2.7222222222222223,0.875657706748693,0.821554625992668,1e-05
1,0,0,1.5483375719575472e+16,5.75,44.074556597698795,38.324556597698795,3,2.7222222222222223,0.875657706748693,0.821554625992668,1e-05
1,0,1,8.850148664156703e+20,21.183333333333334,-inf,-inf,3,2.7222222222222223,0.875657706748693,0.821554625992668,1e-05
1,0,0,1.555692383303408e+16,5.75,7.6399757226423155,1.8899757226423155,3,3.0,0.8768594117171925,0.8832759244539796,1e-05
1,0,0,1.555692383303408e+16,5.75,44.45664238930898,38.70664238930898,3,3.0,0.8768594117171925,0.8832759244539796,1e-05
1,0,1,8.850148676028282e+20,20.03333333333333,,,3,3.0,0.8768594117171925,0.8832759244539796,1e-05
1,0,0,1.4948699039336496e+16,4.716666666666667,17.89511311410068,13.178446447434014,4,0.5,1.0635799069582619,0.19264469385242633,1e-05
1,0,0,1.501587980464243e+16,4.716666666666667,11.952118402581258,7.235451735914591,4,0.8888888888888888,1.0650219611532068,0.3254551053079778,1e-05
1,0,0,1.501587980464243e+16,4.716666666666667,36.86878506924793,32.15211840258126,4,0.8888888888888888,1.0650219611532068,0.3254551053079778,1e-05
1,0,1,8.850149010846437e+20,45.7,,,4,0.8888888888888888,1.0650219611532068,0.3254551053079778,1e-05
1,0,0,1.5084961792576528e+16,4.716666666666667,9.623505196999606,4.906838530332939,4,1.2777777777777777,1.0664945141205242,0.4462307792785493,1e-05
1,0,0,1.5084961792576528e+16,4.716666666666667,39.956838530332945,35.240171863666276,4,1.2777777777777777,1.0664945141205242,0.4462307792785493,1e-05
1,0,1,8.850148757461879e+20,34.21666666666667,,,4,1.2777777777777777,1.0664945141205242,0.4462307792785493,1e-05
1,0,0,1.5156169902563428e+16,4.716666666666667,8.387335130074101,3.6706684634074342,4,1.6666666666666667,1.0679366600010107,0.5575615437185343,1e-05
1,0,0,1.5156169902563428e+16,4.716666666666667,41.720668463407435,37.004001796740766,4,1.6666666666666667,1.0679366600010107,0.5575615437185343,1e-05
