time_hr,od650nm,culture_temp_C,stir_rate,date,strain,tech_rep,preshift_carbon,preshift_conc_M,postshift_carbon,postshift_conc_M,log_od650nm_filtered,pearson_correlation,phase,time_hr_centered,od650nm_centered,log_od650nm_filtered_centered
3.7706333333333335,0.3412570571837902,36.950000000000045,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.1028453892353314,0.9787678335773928,preshift_exponential,-0.4838138888888892,0.8306851180448821,1.2562948819401083
3.787322222222224,0.3422523265678239,36.93000000000001,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.0888877586047825,0.9756870060922644,preshift_exponential,-0.4671249999999993,0.8331077945825786,1.2403951918327516
3.8039972222222223,0.3470214685987436,37.01000000000005,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.073595065630373,0.97256591072902,preshift_exponential,-0.4504500000000004,0.8447168008361656,1.222974679309094
3.820675,0.3443383332688767,37.03000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.060549817125557,0.9689005093216654,preshift_exponential,-0.4337722222222226,0.8381855349141821,1.2081143198333195
3.8373555555555554,0.3370874210212901,36.89000000000004,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.0477726568334491,0.9654964590288316,preshift_exponential,-0.4170916666666673,0.8205354240387441,1.1935593502633484
3.8540333333333336,0.356677077023144,36.77000000000004,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.0361432194472062,0.9624395891750868,preshift_exponential,-0.400413888888889,0.8682204033404165,1.180311797332733
3.870713888888889,0.3547881927906982,37.09000000000003,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.023820032007403,0.9592677860523852,preshift_exponential,-0.3837333333333337,0.8636224968984192,1.1662739662270076
3.887391666666667,0.3685626654140361,36.870000000000005,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.0144102723904032,0.9561983945163006,preshift_exponential,-0.3670555555555559,0.8971522047132557,1.1555549361956812
3.904075,0.3714478568623559,36.89000000000004,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-1.0031367817337082,0.9540807923189104,preshift_exponential,-0.3503722222222225,0.9041753139746675,1.1427128562887006
3.920755555555556,0.383535179200023,36.85000000000002,0.75,2024-04-20,WT,3,glucose,0.005,acetate,0.03,-0.9936370606964524,0.952253835509886,preshift_exponential,-0.3336916666666667,0.9335981744592902,1.1318913476389358
